WKT,name,description
"LINESTRING (-157.8148228 21.299824, -122.4507187 37.7765643)",University of Hawaii at Manoa & University of San Francisco,
"LINESTRING (-123.2794442 44.56378060000001, -122.6833385 45.51111529999999)",Oregon State University & Portland State University,
"LINESTRING (-123.2794442 44.56378060000001, -123.0726055 44.0448302)",Oregon State University & University of Oregon,
"LINESTRING (-122.7275712 45.5732046, -122.3178465 47.6091765)",University of Portland & Seattle University,
"LINESTRING (-122.7275712 45.5732046, -122.6833385 45.51111529999999)",University of Portland & Portland State University,
"LINESTRING (-122.4507187 37.7765643, -122.2594606 37.870151)",University of San Francisco & University of California Berkeley,
"LINESTRING (-122.3178465 47.6091765, -122.3074579 47.65464069999999)",Seattle University & University of Washington,
"LINESTRING (-122.3074579 47.65464069999999, -117.5847877 47.4906616)",University of Washington & Eastern Washington University,
"LINESTRING (-122.2594606 37.870151, -122.1089374 37.8408837)",University of California Berkeley & Saint Mary's College of California,
"LINESTRING (-122.17006 37.42766, -121.9367804 37.3489255)",Stanford University & Santa Clara University,
"LINESTRING (-122.17006 37.42766, -122.1089374 37.8408837)",Stanford University & Saint Mary's College of California,
"LINESTRING (-122.1089374 37.8408837, -121.7617125 38.5382322)",Saint Mary's College of California & University of California Davis,
"LINESTRING (-121.9367804 37.3489255, -121.8810715 37.3351874)",Santa Clara University & San José State University,
"LINESTRING (-121.7617125 38.5382322, -121.4276493 38.564761)",University of California Davis & California State University Sacramento,
"LINESTRING (-121.4276493 38.564761, -121.3128577 37.97988689999999)",California State University Sacramento & University of the Pacific,
"LINESTRING (-121.4276493 38.564761, -119.8141582 39.5437205)",California State University Sacramento & University of Nevada Reno,
"LINESTRING (-121.3128577 37.97988689999999, -119.7461767 36.8136777)",University of the Pacific & California State University Fresno,
"LINESTRING (-120.6624942 35.3050053, -119.848947 34.4139629)",California Polytechnic State University & University of California Santa Barbara,
"LINESTRING (-119.848947 34.4139629, -118.709596 34.0415037)",University of California Santa Barbara & Pepperdine University,
"LINESTRING (-119.848947 34.4139629, -119.1033448 35.3486641)",University of California Santa Barbara & California State University Bakersfield,
"LINESTRING (-119.7461767 36.8136777, -119.1033448 35.3486641)",California State University Fresno & California State University Bakersfield,
