WKT,name,description
"POINT (-78.9382286 36.0014258)",Duke University,
"POINT (-99.7080103 32.4700922)",Abilene Christian University,
"POINT (-86.5722237 34.78384090000001)",Alabama A&M University,
"POINT (-86.2939803 32.3629762)",Alabama State University,
"POINT (-91.1365733 31.8741511)",Alcorn State University,
"POINT (-77.088922 38.9380155)",American University,
"POINT (-81.68432179999999 36.21356280000001)",Appalachian State University,
"POINT (-111.9264972 33.42316849999999)",Arizona State University,
"POINT (-90.67485889999999 35.8430861)",Arkansas State University,
"POINT (-85.4942667 32.59805490000001)",Auburn University,
"POINT (-87.3548855 36.53498)",Austin Peay State University,
"POINT (-85.40582409999999 40.2024944)",Ball State University,
"POINT (-97.11354 31.5500848)",Baylor University,
"POINT (-85.7055271 38.21849390000001)",Bellarmine University,
"POINT (-86.7941702 36.1329081)",Belmont University,
"POINT (-81.03157399999999 29.2110122)",Bethune-Cookman University,
"POINT (-116.2009765 43.6023364)",Boise State University,
"POINT (-71.16849450000001 42.3355488)",Boston College,
"POINT (-71.1053991 42.3504997)",Boston University,
"POINT (-83.63009749999999 41.3798424)",Bowling Green State University,
"POINT (-89.6153484 40.6977743)",Bradley University,
"POINT (-111.6493156 40.2518435)",Brigham Young University,
"POINT (-71.4025482 41.82677179999999)",Brown University,
"POINT (-71.53772649999999 41.9220919)",Bryant University,
"POINT (-76.88507589999999 40.9547722)",Bucknell University,
"POINT (-86.1712038 39.8410384)",Butler University,
"POINT (-117.4259155 33.9288906)",California Baptist University,
"POINT (-120.6624942 35.3050053)",California Polytechnic State University,
"POINT (-119.1033448 35.3486641)",California State University, Bakersfield,
"POINT (-119.7461767 36.8136777)",California State University, Fresno,
"POINT (-117.8851033 33.8823476)",California State University, Fullerton,
"POINT (-118.1140904 33.7838235)",California State University, Long Beach,
"POINT (-118.5300196 34.2406756)",California State University, Northridge,
"POINT (-121.4276493 38.564761)",California State University, Sacramento,
"POINT (-78.7397718 35.408157)",Campbell University,
"POINT (-78.8550954 42.9237929)",Canisius University,
"POINT (-72.7638508 41.6931245)",Central Connecticut State University,
"POINT (-84.77586389999999 43.5905995)",Central Michigan University,
"POINT (-80.07065539999999 32.9821829)",Charleston Southern University,
"POINT (-87.60943879999999 41.7179751)",Chicago State University,
"POINT (-82.8367119 34.673407)",Clemson University,
"POINT (-81.67442299999999 41.5027643)",Cleveland State University,
"POINT (-79.0136958 33.79611939999999)",Coastal Carolina University,
"POINT (-75.5407355 42.8155894)",Colgate University,
"POINT (-79.93700179999999 32.7834441)",College of Charleston,
"POINT (-71.8079608 42.2392391)",College of the Holy Cross,
"POINT (-105.0848391 40.5729432)",Colorado State University,
"POINT (-73.9625727 40.8075355)",Columbia University,
"POINT (-76.65799729999999 39.31260109999999)",Coppin State University,
"POINT (-76.4735027 42.4534492)",Cornell University,
"POINT (-95.94638619999999 41.26555210000001)",Creighton University,
"POINT (-72.2886934 43.70444059999999)",Dartmouth College,
"POINT (-80.8423248 35.5015528)",Davidson College,
"POINT (-75.54340309999999 39.1852205)",Delaware State University,
"POINT (-87.65416549999999 41.92418680000001)",DePaul University,
"POINT (-93.6546481 41.6030995)",Drake University,
"POINT (-75.18994409999999 39.95661269999999)",Drexel University,
"POINT (-79.99025759999999 40.4369485)",Duquesne University,
"POINT (-77.3665364 35.6068806)",East Carolina University,
"POINT (-82.36985299999999 36.30239539999999)",East Tennessee State University,
"POINT (-88.17521839999999 39.4835612)",Eastern Illinois University,
"POINT (-84.2987483 37.7359731)",Eastern Kentucky University,
"POINT (-83.624089 42.25068029999999)",Eastern Michigan University,
"POINT (-117.5847877 47.4906616)",Eastern Washington University,
"POINT (-79.5023649 36.1028244)",Elon University,
